START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/07/18,08:05 PM,08:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"",04/07/18,04/07/18,11:05 PM,11:05 PM,FALSE,TRUE,04/07/18,07:05 PM,07:05 PM,FREE,BUSY
04/08/18,03:05 PM,03:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"",04/08/18,04/08/18,06:05 PM,06:05 PM,FALSE,TRUE,04/08/18,02:05 PM,02:05 PM,FREE,BUSY
04/09/18,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/09/18,04/09/18,10:05 PM,10:05 PM,FALSE,TRUE,04/09/18,06:05 PM,06:05 PM,FREE,BUSY
04/10/18,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/10/18,04/10/18,10:05 PM,10:05 PM,FALSE,TRUE,04/10/18,06:05 PM,06:05 PM,FREE,BUSY
04/11/18,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/11/18,04/11/18,10:05 PM,10:05 PM,FALSE,TRUE,04/11/18,06:05 PM,06:05 PM,FREE,BUSY
04/13/18,07:10 PM,07:10 PM,Blue Jays at Indians,Progressive Field - Cleveland,"",04/13/18,04/13/18,10:10 PM,10:10 PM,FALSE,TRUE,04/13/18,06:10 PM,06:10 PM,FREE,BUSY
04/14/18,04:10 PM,04:10 PM,Blue Jays at Indians,Progressive Field - Cleveland,"",04/14/18,04/14/18,07:10 PM,07:10 PM,FALSE,TRUE,04/14/18,03:10 PM,03:10 PM,FREE,BUSY
04/15/18,01:10 PM,01:10 PM,Blue Jays at Indians,Progressive Field - Cleveland,"",04/15/18,04/15/18,04:10 PM,04:10 PM,FALSE,TRUE,04/15/18,12:10 PM,12:10 PM,FREE,BUSY
04/16/18,07:07 PM,07:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",04/16/18,04/16/18,10:07 PM,10:07 PM,FALSE,TRUE,04/16/18,06:07 PM,06:07 PM,FREE,BUSY
04/17/18,07:07 PM,07:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",04/17/18,04/17/18,10:07 PM,10:07 PM,FALSE,TRUE,04/17/18,06:07 PM,06:07 PM,FREE,BUSY
04/18/18,04:07 PM,04:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",04/18/18,04/18/18,07:07 PM,07:07 PM,FALSE,TRUE,04/18/18,03:07 PM,03:07 PM,FREE,BUSY
